t,x,y
3.5,1.2608685243990947,0.0
7.0,0.11952501661071148,0.018015497563330946
10.5,0.26804370492540425,0.0826805330966215
14.0,1.5950916838503502,0.7681556696132914
17.5,0.3506913628988819,0.2390973227734957
21.0,0.43168775344552246,0.40054769983778354
24.5,1.0445567104804931,1.3098326853819624
28.0,0.4326057162308232,0.7492950801565101
31.5,0.7112832772848207,1.812320233738741
35.0,0.21823593068992664,0.9561540862144569
38.5,0.1167390342472385,1.557774152871637
42.0,-0.055757094625651704,0.7440267208576193
45.5,-0.11319344028668879,0.4959328655030928
49.0,-0.16773981923095121,0.4273940891122636
52.5,-0.9738944893536213,1.6868347367718184
56.0,-1.236539307929105,1.550571248103987
59.5,-1.3461824484335059,1.2490747744829944
63.0,-1.7729268314583815,1.2087610466677592
66.5,-0.7158214398128221,0.34472143701211627
70.0,-2.0978309708455782,0.6470951558604444
73.5,-0.561924483691245,0.08469648826477041
77.0,-1.899878835719053,2.3266805349311385e-16
80.5,-2.2581925907779854,-0.3403677679392764
84.0,-0.670991493433179,-0.206973465001884
87.5,-1.35818895073506,-0.6540693262188335
91.0,-1.2983284243153186,-0.8851853315361863
94.5,-1.0260137285019308,-0.9520016161526328
98.0,-0.5411179245432297,-0.6785404153755694
101.5,-0.5470090888176751,-0.9474475340341708
105.0,-0.4179128486433563,-1.0648245723236183
108.5,-0.44935486166838146,-1.9687522846776881
112.0,-0.1940465242906208,-2.58937091559552
115.5,0.09365491824326953,-1.2497380320937714
119.0,0.303532975900804,-1.329864859058172
122.5,0.7269067769736184,-1.8521282617243044
126.0,1.2658025506975827,-2.1924343301584925
129.5,1.8558081484671582,-2.3271098124890757
133.0,1.4813483947235566,-1.374490444607417
136.5,1.4185765289649324,-0.9671691011182156
140.0,1.6148831952952227,-0.7776867591929811
143.5,1.4773220085263554,-0.45569348944166893
147.0,2.2625270948436054,-0.3410210893078627
150.5,3.2160058981785973,-7.876942658486856e-16
154.0,2.3197003987453306,0.34963857831841777
157.5,1.903407467738247,0.587123447560485
161.0,2.7408221731630062,1.319910393260196
164.5,2.3346934527649306,1.591767043928768
168.0,1.5536233266253603,1.4415517811826128
171.5,1.9972683141277086,2.5044952495865993
175.0,1.6495503486685943,2.8571050135369638
178.5,0.808260649962416,2.059414549507465
182.0,0.48739261166538406,2.1354065563874856
185.5,0.24806519181732786,3.3101999389661754
189.0,-0.29737094388464724,3.968139476102468
192.5,-0.7355032247596706,3.222450178367128
196.0,-1.287687706422344,3.280974767176136
199.5,-1.5936521307907758,2.76028646012002
203.0,-2.568195917635924,3.220415820062723
206.5,-3.1778860768710606,2.9486473690244623
210.0,-2.537890388752824,1.7303043691393973
213.5,-3.4774766123247938,1.6746644739924101
217.0,-4.3046620179627,1.3278123824806234
220.5,-4.077058650782117,0.6145177158012609
224.0,-4.265785953228041,1.5672243340405381e-15
227.5,-4.5045195571547785,-0.6789470807622219
231.0,-5.054720889435045,-1.5591749036203904
234.5,-4.1792882474717565,-2.0126391446629937
238.0,-3.5430765108459337,-2.4156286631136257
241.5,-2.8284797995074604,-2.624445721908401
245.0,-3.371623351910641,-4.227881956833322
248.5,-2.8664722470231974,-4.964875570330305
252.0,-1.4426868189962119,-3.6759060651555946
255.5,-0.9625778408624143,-4.217329075603808
259.0,-0.40908052443436316,-5.45880023349688
262.5,0.3839377343979745,-5.123293016889093
266.0,1.0501091360834294,-4.6008287373351955
269.5,1.80006606719889,-4.586493538979602
273.0,2.687302006165027,-4.654543609959591
276.5,3.8927675352629096,-4.881376092960695
280.0,4.527105327419071,-4.2005398840899
283.5,4.983835947188679,-3.3979218143981256
287.0,4.94142893336496,-2.3796667549497266
290.5,6.895876243459844,-2.1270961171658915
294.0,5.413468353221536,-0.8159490681709832
297.5,7.066858787025264,-3.4617623974227347e-15
